#,label,tex_name,order,exponent,rank,D*,Davenport Constant,Justification
1,1.1,C_1,1,1,0,1,1,Trivial
2,2.1,C_2,2,2,1,2,2,"Rogers (1963, Theorem 1)"
3,3.1,C_3,3,3,1,3,3,"Rogers (1963, Theorem 1)"
4,4.1,C_4,4,4,1,4,4,"Rogers (1963, Theorem 1)"
5,4.2,C_2^2,4,2,2,3,3,Olson (1969-I)
6,5.1,C_5,5,5,1,5,5,"Rogers (1963, Theorem 1)"
7,6.2,C_6,6,6,1,6,6,"Rogers (1963, Theorem 1)"
8,7.1,C_7,7,7,1,7,7,"Rogers (1963, Theorem 1)"
9,8.1,C_8,8,8,1,8,8,"Rogers (1963, Theorem 1)"
10,8.2,C_2\times C_4,8,4,2,5,5,Olson (1969-I)
11,8.5,C_2^3,8,2,3,4,4,Olson (1969-I)
12,9.1,C_9,9,9,1,9,9,"Rogers (1963, Theorem 1)"
13,9.2,C_3^2,9,3,2,5,5,Olson (1969-I)
14,10.2,C_{10},10,10,1,10,10,"Rogers (1963, Theorem 1)"
15,11.1,C_{11},11,11,1,11,11,"Rogers (1963, Theorem 1)"
16,12.2,C_{12},12,12,1,12,12,"Rogers (1963, Theorem 1)"
17,12.5,C_2\times C_6,12,6,2,7,7,Olson (1969-II)
18,13.1,C_{13},13,13,1,13,13,"Rogers (1963, Theorem 1)"
19,14.2,C_{14},14,14,1,14,14,"Rogers (1963, Theorem 1)"
20,15.1,C_{15},15,15,1,15,15,"Rogers (1963, Theorem 1)"
21,16.1,C_{16},16,16,1,16,16,"Rogers (1963, Theorem 1)"
22,16.2,C_4^2,16,4,2,7,7,Olson (1969-I)
23,16.5,C_2\times C_8,16,8,2,9,9,Olson (1969-I)
24,16.10,C_2^2\times C_4,16,4,3,6,6,Olson (1969-I)
25,16.14,C_2^4,16,2,4,5,5,Olson (1969-I)
26,17.1,C_{17},17,17,1,17,17,"Rogers (1963, Theorem 1)"
27,18.2,C_{18},18,18,1,18,18,"Rogers (1963, Theorem 1)"
28,18.5,C_3\times C_6,18,6,2,8,8,Olson (1969-II)
29,19.1,C_{19},19,19,1,19,19,"Rogers (1963, Theorem 1)"
30,20.2,C_{20},20,20,1,20,20,"Rogers (1963, Theorem 1)"
31,20.5,C_2\times C_{10},20,10,2,11,11,Olson (1969-II)
32,21.2,C_{21},21,21,1,21,21,"Rogers (1963, Theorem 1)"
33,22.2,C_{22},22,22,1,22,22,"Rogers (1963, Theorem 1)"
34,23.1,C_{23},23,23,1,23,23,"Rogers (1963, Theorem 1)"
35,24.2,C_{24},24,24,1,24,24,"Rogers (1963, Theorem 1)"
36,24.9,C_2\times C_{12},24,12,2,13,13,Olson (1969-II)
37,24.15,C_2^2\times C_6,24,6,3,8,8,van Emde Boas (1969) + later works
38,25.1,C_{25},25,25,1,25,25,"Rogers (1963, Theorem 1)"
39,25.2,C_5^2,25,5,2,9,9,Olson (1969-I)
40,26.2,C_{26},26,26,1,26,26,"Rogers (1963, Theorem 1)"
41,27.1,C_{27},27,27,1,27,27,"Rogers (1963, Theorem 1)"
42,27.2,C_3\times C_9,27,9,2,11,11,Olson (1969-I)
43,27.5,C_3^3,27,3,3,7,7,Olson (1969-I)
44,28.2,C_{28},28,28,1,28,28,"Rogers (1963, Theorem 1)"
45,28.4,C_2\times C_{14},28,14,2,15,15,Olson (1969-II)
46,29.1,C_{29},29,29,1,29,29,"Rogers (1963, Theorem 1)"
47,30.4,C_{30},30,30,1,30,30,"Rogers (1963, Theorem 1)"
48,31.1,C_{31},31,31,1,31,31,"Rogers (1963, Theorem 1)"
49,32.1,C_{32},32,32,1,32,32,"Rogers (1963, Theorem 1)"
50,32.3,C_4\times C_8,32,8,2,11,11,Olson (1969-I)
51,32.16,C_2\times C_{16},32,16,2,17,17,Olson (1969-I)
